theatre_id;title;author;director;url;genre;start_date;end_date;salle;editorspick
rond-point;Edith Beale au Reno Sweeney;;Pierre Maillet;https://www.theatredurondpoint.fr/fr/programmation/saison-25-26/theatre/edith-beale-au-reno-sweeney;;19/05/2026;31/05/2026;Salle Jean Tardieu;
rond-point;Le Ring de Katharsy;Alice Laloy;Alice Laloy;https://www.theatredurondpoint.fr/fr/programmation/saison-25-26/theatre/le-ring-de-katharsy;;20/05/2026;30/05/2026;Salle Renaud-Barrault;
rond-point;Où es-tu ?;Irène Jacob / Keren Ann;Joëlle Bouvier;https://www.theatredurondpoint.fr/fr/programmation/saison-25-26/theatre/ou-es-tu-1;;03/06/2026;14/06/2026;Salle Jean Tardieu;
rond-point;Immaqaa, ici peut-être;;Mathurin Bolze;https://www.theatredurondpoint.fr/fr/programmation/saison-25-26/cirque/immaqaa-ici-peut-etre;;05/06/2026;14/06/2026;Salle Renaud-Barrault;
rond-point;Polar(e);Céline Fuhrer / Jean-Luc Vincent;Céline Fuhrer / Jean-Luc Vincent;https://www.theatredurondpoint.fr/fr/programmation/saison-25-26/theatre/polar-e-1;;17/06/2026;25/06/2026;Salle Jean Tardieu;true
rond-point;Tout est calme dans les hauteurs;Thomas Bernhard;Jean-François Sivadier;https://www.theatredurondpoint.fr/fr/programmation/saison-25-26/theatre/tout-est-calme-dans-les-hauteurs;drame;18/06/2026;04/07/2026;Salle Renaud-Barrault;
theatre-de-la-concorde;Une légende à la rue;Florence Huige;Florence Huige / Morgane Lombard;https://theatredelaconcorde.paris/evenements/une-legende-a-la-rue/;;04/03/2026;14/03/2026;Studio Pierre Cardin;
theatre-de-la-concorde;Scènes de la vie conjugale;Ingmar Bergman;Christophe Perton;https://theatredelaconcorde.paris/evenements/scenes-de-la-vie-conjugale/;drame;17/03/2026;28/03/2026;Grande salle Joséphine Baker;
theatre-de-la-concorde;La bande originale de nos vies;Kevin Keiss;Eugénie Ravon;https://theatredelaconcorde.paris/evenements/la-bande-originale-de-nos-vies/;;01/04/2026;25/04/2026;Grande salle Joséphine Baker;
theatre-de-la-concorde;Rapport pour une académie;Franz Kafka;Georges Lavaudant;https://theatredelaconcorde.paris/evenements/rapport-pour-une-academie/;;13/06/2026;26/06/2026;Grande salle Joséphine Baker;
theatre-de-la-concorde;Je me souviens de la terre;Sébastien Lepotvin;Myriam Marzouki;https://theatredelaconcorde.paris/evenements/je-me-souviens-de-la-terre/;;22/05/2026;30/05/2026;Grande salle Joséphine Baker;
ivt;Je(s);Emmanuelle Laborit / Jennifer Lesage-David;Jennifer Lesage-David;https://www.ivt.fr/spectacles/je-s-mars-avril2026;;19/03/2026;04/04/2026;;
ivt;Nous sommes des filles sans histoire;Alice Zeniter;Anthony Guyon;https://www.ivt.fr/spectacles/nous-sommes-des-filles-sans-histoire;;08/04/2026;18/04/2026;;
maison-des-metallos;Sauvez vos projets (et peut-être le monde) avec la méthode itérative;Antoine Defoort;Antoine Defoort;https://www.maisondesmetallos.paris/sauvez-vos-projets-antoine-defoort;comique;17/03/2026;28/03/2026;;
maison-des-metallos;J'étais parti·e, pardon (dans un autre univers);Théophile Dubus / Collectif Mind The Gap;Théophile Dubus / Collectif Mind The Gap;https://www.maisondesmetallos.paris/j-etais-parti-e-pardon-collectif-mind-the-gap;;18/03/2026;21/03/2026;;
maison-des-metallos;Timon/Titus;Collectif OS'O;Collectif OS'O;https://www.maisondesmetallos.paris/timon-titus-collectif-os-o;drame;07/04/2026;11/04/2026;;
maison-des-metallos;Fiesta;Gwendoline Soublin;Fiona Chauvin / Olivier Letellier;https://www.maisondesmetallos.paris/fiesta-gwendoline-soublin-fiona-chauvin-olivier-letellier;comique;15/04/2026;18/04/2026;;
maison-des-metallos;Quartier de femmes;Zazon Castro;Mohamed Bourouissa;https://www.maisondesmetallos.paris/quartier-de-femmes-mohamed-bourouissa-zazon-castro;;19/05/2026;23/05/2026;;
