theatre_id;title;author;director;url;start_date;end_date;salle;type;editorspick
theatre-silvia-monfort;L’Amante anglaise;Marguerite Duras;Émilie Charriot;https://theatresilviamonfort.eu/events/lamante-anglaise/;12/05/2027;22/05/2027;;théâtre;true
centquatre;Erdal est parti;Simon Roth;Simon Roth;https://www.104.fr/fr/programmation/saison-2026-2027/theatre/simon-roth-erdal-est-parti;16/09/2026;18/09/2026;;théâtre;
centquatre;Ring;Lukas Dana;Lukas Dana;https://www.104.fr/fr/programmation/saison-2026-2027/theatre/lukas-dana;08/10/2026;15/10/2026;;théâtre;
centquatre;Le Signalement;François Hien, Léa Porracchia, Flora Souchier;François Hien, Léa Porracchia, Flora Souchier;https://www.104.fr/fr/programmation/saison-2026-2027/theatre/francois-hien-lea-porracchia-flora-souchier-le-signalement;23/10/2026;25/10/2026;;théâtre;
centquatre;Entre parenthèses;Pauline Bureau;Pauline Bureau;https://www.104.fr/fr/programmation/saison-2026-2027/theatre/pauline-bureau-entre-parentheses;17/11/2026;22/11/2026;;théâtre;
centquatre;Short Message Service;Suzanne de Baecque & Joaquim Fossi;Suzanne de Baecque & Joaquim Fossi;https://www.104.fr/fr/programmation/saison-2026-2027/theatre/suzanne-de-baecque-joaquim-fossi;19/11/2026;29/11/2026;;théâtre;
centquatre;L’affaire L.ex.π.Re;Métilde Weyergans, Samuel Hercule / La Cordonnerie;Métilde Weyergans, Samuel Hercule;https://www.104.fr/fr/programmation/saison-2026-2027/theatre/metilde-weyergans-samuel-hercule-la-cordonnerie-l-affaire-l-ex-p-re;13/01/2027;15/01/2027;;théâtre;
centquatre;Les vies de Léon;Julie Bertin, Jade Herbulot / Le Birgit Ensemble;Julie Bertin, Jade Herbulot;https://www.104.fr/fr/programmation/saison-2026-2027/theatre/julie-bertin-jade-herbulot-le-birgit-ensemble;20/01/2027;22/01/2027;;théâtre;
centquatre;Nous camperons ici;Sébastien Barrier;Sébastien Barrier;https://www.104.fr/fr/programmation/saison-2026-2027/theatre/sebastien-barrier-nous-camperons-ici;21/01/2027;23/01/2027;;théâtre;
centquatre;Tout doit disparaitre;Stéphanie Aflalo;Stéphanie Aflalo;https://www.104.fr/fr/programmation/saison-2026-2027/theatre/stephanie-aflalo-tout-doit-disparaitre;28/01/2027;30/01/2027;;théâtre;
